Exercise,DifficultyLevel,TargetMuscleGroup,PrimaryEquipment,#PrimaryItems,SecondaryEquipment,#SecondaryItems,BodyRegion,ForceType,PrimaryExerciseClassification
Single Arm Barbell Turkish Get Up,Expert,Abdominals,Barbell,1.0,,0.0,Full Body,Other,Grinds
Bodyweight Plate Plyometric Push Up,Intermediate,Chest,Bodyweight,1.0,,0.0,Upper Body,Push,Plyometric
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Intermediate,Back,Dumbbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Double Dumbbell Single Leg Bent Over Row,Intermediate,Back,Dumbbell,2.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Full Body,Push,Bodybuilding
Alternating Double Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Full Body,Push,Bodybuilding
Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Dumbbell Bird Dog Row,Intermediate,Back,Dumbbell,1.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Advanced,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Grinds
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Unsorted*,Other,Unsorted*
Double Dumbbell Renegade Row,Intermediate,Back,Dumbbell,2.0,,0.0,Upper Body,Pull,Bodybuilding
Single Arm Barbell Overhead Toe Balance Squat,Expert,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Balance
Barbell Overhead Toe Balance Squat,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Balance
Ring Kneeling Rollout,Intermediate,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Single Arm Ring Kneeling Rollout,Advanced,Abdominals,Gymnastic Rings,1.0,,0.0,Midsection,Other,Calisthenics
Ring Standing Rollout,Advanced,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Unsorted*
Alternating Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Unsorted*
Single Arm Kettlebell Bent Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Unsorted*,Push,Grinds
Alternating Single Arm Kettlebell Around the World High Catch to Squat,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Unsorted*,Push,Unsorted*
Double Kettlebell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Front Rack Cossack Squat,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Landmine Half Kneeling Contralateral Shoulder Press,Intermediate,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Unsorted*
Bodyweight Bulgarian Split Squat,Novice,Quadriceps,Bodyweight,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Plate Otis Up,Novice,Abdominals,Weight Plate,1.0,,0.0,Midsection,Other,Unsorted*
Double Kettlebell Overhead Pistol Squat,Expert,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Balance
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Expert,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Balance
Double Kettlebell Bottoms Up Overhead Pistol Squat,Expert,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Balance
Double Kettlebell Clean to Sots Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Bottoms Up Clean to Sots Press,Advanced,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Unsorted*
Single Arm Landmine Z Press,Intermediate,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Bodybuilding
Barbell Z Press,Intermediate,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Suspension Bicep Curl,Intermediate,Biceps,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Suspension Atomic Push Up,Intermediate,Chest,Suspension Trainer,1.0,,0.0,Upper Body,Push,Unsorted*
Parallette Feet Elevated Close Grip Push Up,Intermediate,Triceps,Parallette Bars,1.0,Bench (Flat),1.0,Upper Body,Push,Calisthenics
Double Kettlebell Clean to Thruster,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Bodyweight Archer Push Up,Intermediate,Chest,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Parallette Archer Push Up,Intermediate,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Single Arm Suspension Push Up,Intermediate,Chest,Suspension Trainer,1.0,,0.0,Upper Body,Push,Unsorted*
Ring Skin the Cat,Intermediate,Shoulders,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,2.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,2.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Double Kettlebell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,2.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bulgarian Split Squat Thruster,Advanced,Shoulders,Kettlebell,2.0,Bench (Flat),1.0,Full Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,Advanced,Shoulders,Kettlebell,2.0,Bench (Flat),1.0,Full Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Ring Feet Elevated Row,Intermediate,Back,Gymnastic Rings,2.0,Bench (Flat),1.0,Upper Body,Pull,Calisthenics
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Ring Feet Elevated Bulgarian Row,Intermediate,Back,Gymnastic Rings,2.0,Bench (Flat),1.0,Upper Body,Pull,Calisthenics
Ring Feet Elevated Archer Row,Intermediate,Back,Gymnastic Rings,2.0,Bench (Flat),1.0,Upper Body,Pull,Calisthenics
Ring Push Up,Intermediate,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Ring Chest Fly,Intermediate,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Unsorted*
Double Kettlebell Feet Elevated Push Up,Intermediate,Chest,Kettlebell,2.0,Bench (Flat),1.0,Upper Body,Push,Calisthenics
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Parallette Alternating Shoulder Tap Push Up,Intermediate,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Parallette Dive Bomber Push Up,Intermediate,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Barbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Barbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Barbell Back Rack Bulgarian Split Squat,Intermediate,Quadriceps,Barbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Suspension Contralateral Pistol Squat,Advanced,Quadriceps,Suspension Trainer,1.0,,0.0,Lower Body,Push,Balance
Barbell Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Bodyweight Dragon Flag,Advanced,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Bodyweight Dive Bomber Push Up,Intermediate,Chest,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Barbell Staggered Stance Push Press,Intermediate,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Unsorted*
Parallette Full Planche,Expert,Abdominals,Parallette Bars,2.0,,0.0,Unsorted*,Other,Calisthenics
Double Dumbbell Renegade Row to Push Up,Intermediate,Back,Dumbbell,2.0,,0.0,Upper Body,Push & Pull,Bodybuilding
Ring Inverted Iron Cross,Grand Master,Back,Gymnastic Rings,2.0,,0.0,Unsorted*,Unsorted*,Calisthenics
Barbell Reverse Grip Front Raise,Intermediate,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Ring Tuck Planche,Advanced,Abdominals,Gymnastic Rings,2.0,,0.0,Unsorted*,Other,Calisthenics
Barbell Seated Reverse Grip Wrist Curl,Intermediate,Forearms,Barbell,1.0,Bench (Flat),1.0,Upper Body,Pull,Unsorted*
Ring Full Planche,Master,Abdominals,Gymnastic Rings,2.0,,0.0,Unsorted*,Other,Calisthenics
Alternating Single Arm Parallette Push Up,Intermediate,Chest,Parallette Bars,1.0,,0.0,Upper Body,Push,Calisthenics
Ring Scapular Pull Up,Intermediate,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Ring Grip Full Planche,Grand Master,Abdominals,Gymnastic Rings,2.0,,0.0,Unsorted*,Other,Calisthenics
Bodyweight Full Planche,Expert,Abdominals,Bodyweight,1.0,,0.0,Unsorted*,Other,Calisthenics
Cable Quadruped Hip Abduction,Novice,Abductors,Cable,1.0,,0.0,Lower Body,Other,Unsorted*
Barbell Reverse Grip Bench Press,Intermediate,Chest,Barbell,1.0,Bench (Flat),1.0,Upper Body,Push,Bodybuilding
Double Kettlebell Turkish Get Up,Advanced,Abdominals,Kettlebell,2.0,,0.0,Full Body,Other,Grinds
Single Arm Kettlebell Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Kettlebell Z Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Parallette Straddle Planche,Expert,Abdominals,Parallette Bars,2.0,,0.0,Unsorted*,Other,Calisthenics
Single Arm Kettlebell Sots Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Ring Straddle Planche,Master,Abdominals,Gymnastic Rings,2.0,,0.0,Unsorted*,Other,Calisthenics
Double Kettlebell Renegade Row,Intermediate,Back,Kettlebell,2.0,,0.0,Upper Body,Pull,Bodybuilding
Barbell Turkish Sit Up,Intermediate,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Unsorted*
Plate Turkish Sit Up,Intermediate,Abdominals,Weight Plate,1.0,,0.0,Midsection,Other,Unsorted*
Double Kettlebell Renegade Row to Push Up,Intermediate,Back,Kettlebell,2.0,,0.0,Upper Body,Push & Pull,Bodybuilding
Single Arm Barbell Turkish Sit Up,Advanced,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Unsorted*
Dumbbell Crush Grip Romanian Deadlift,Beginner,Hamstrings,Dumbbell,1.0,,0.0,Lower Body,Pull,Bodybuilding
Single Arm Kettlebell Half Kneeling Contralateral Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Kettlebell,2.0,,0.0,Full Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Kettlebell,2.0,,0.0,Full Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Sots Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Alternating Double Kettlebell Sots Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Double Kettlebell Seesaw Sots Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Dumbbell Crush Grip Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Unsorted*
Double Kettlebell Bottoms Up Seesaw Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Parallette Crow Pose,Intermediate,Abdominals,Parallette Bars,2.0,,0.0,Unsorted*,Other,Calisthenics
Double Kettlebell Bottoms Up Seesaw Z Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Suspension Single Leg Standing Bent Knee Reverse Fly,Intermediate,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Double Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Suspension Single Leg Standing Bent Knee Y Raise,Intermediate,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Suspension Single Leg Standing Bent Knee Face Pull,Intermediate,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Single Arm Kettlebell Half Kneeling Dead Clean,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Barbell Overhead March,Intermediate,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Balance
Single Arm Barbell Overhead March,Advanced,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Balance
Single Arm Kettlebell Half Kneeling Clean,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Single Arm Kettlebell Half Kneeling Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Slider Lateral Lunge,Beginner,Quadriceps,Sliders,1.0,,0.0,Lower Body,Other,Bodybuilding
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Double Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,Intermediate,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Push & Pull,Balance
Suspension Single Leg Standing Bent Knee Cuban Press,Intermediate,Shoulders,Suspension Trainer,1.0,,0.0,Upper Body,Push & Pull,Balance
Single Arm Kettlebell Half Kneeling Side Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Unsorted*,Grinds
Double Kettlebell Single Leg Standing Bent Knee Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Balance
Single Arm Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Dead Half Snatch,Intermediate,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Slider Barbell Overhead Reverse Lunge,Advanced,Quadriceps,Sliders,1.0,Barbell,1.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Balance
Suspension Single Leg Standing Bent Knee Bicep Curl,Intermediate,Biceps,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Double Kettlebell Otis Up,Novice,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Unsorted*
Single Arm Kettlebell Otis Up,Novice,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Unsorted*
Kettlebell Horn Grip Otis Up,Novice,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Unsorted*
Double Kettlebell Bottoms Up Otis Up,Intermediate,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Unsorted*
Single Arm Kettlebell Bottoms Up Otis Up,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Unsorted*
Double Dumbbell Staggered Stance Romanian Deadlift,Novice,Hamstrings,Dumbbell,2.0,,0.0,Lower Body,Pull,Bodybuilding
Barbell Staggered Stance Romanian Deadlift,Intermediate,Hamstrings,Barbell,1.0,,0.0,Lower Body,Pull,Bodybuilding
Single Arm Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Unsorted*
Ring Hanging Knees to Elbows,Advanced,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Single Arm Plate Teacup,Intermediate,Shoulders,Weight Plate,1.0,,0.0,Upper Body,Unsorted*,Mobility
Double Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Unsorted*
Superband Assisted Nordic Hamstring Curl,Intermediate,Hamstrings,Superband,1.0,,0.0,Lower Body,Pull,Unsorted*
Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,2.0,,0.0,Midsection,Push,Bodybuilding
Bodyweight Alternating Shin Box Hip Extension,Intermediate,Glutes,Bodyweight,1.0,,0.0,Lower Body,Unsorted*,Mobility
Single Arm Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Midsection,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Midsection,Push,Bodybuilding
Ring Chin Up,Intermediate,Biceps,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Double Kettlebell Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Single Arm Kettlebell Rotational Thruster,Novice,Quadriceps,Kettlebell,1.0,,0.0,Full Body,Push,Bodybuilding
Alternating Single Arm Kettlebell Clean to Rotational Thruster,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Unsorted*
Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Alternating Single Arm Kettlebell Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Unsorted*
Alternating Single Arm Kettlebell Bottoms Up Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Bottoms Up Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Single Arm Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,1.0,,0.0,Full Body,Other,Unsorted*
Double Dumbbell Glute Bridge Isometric Bench Press,Novice,Chest,Dumbbell,2.0,Bench (Flat),1.0,Full Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Dead Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Double Kettlebell Bottoms Up Dead Clean to Thruster,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Bodyweight Foot Elevated Cossack Squat,Beginner,Quadriceps,Bodyweight,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Barbell Overhead Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Landmine Split Squat Isometric Oblique Twist,Advanced,Abdominals,Landmine,1.0,,0.0,Midsection,Other,Balance
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Thruster,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Barbell Back Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Front Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Bodyweight Feet Elevated Row,Intermediate,Back,Barbell,1.0,Bench (Flat),1.0,Upper Body,Pull,Calisthenics
Barbell Overhead Low Switch Cossack Squat,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Dead Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Dead Clean to Alternating Rotational Thruster,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Double Kettlebell Windmill,Advanced,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Grinds
Double Kettlebell Dragon Flag,Expert,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Unsorted*
Barbell Staggered Stance Overhead Press,Intermediate,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Unsorted*
Double Kettlebell Front Rack 90/90 Hip Shift to Alternating Overhead Press,Advanced,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Unsorted*
Kettlebell Dead Bug,Novice,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Unsorted*
Battle Rope Split Squat Isometric Alternating Side Slam,Advanced,Abdominals,Battle Ropes,1.0,,0.0,Midsection,Other,Balance
Superband Standing Adduction,Novice,Adductors,Superband,1.0,,0.0,Lower Body,Other,Unsorted*
Superband Lateral Step Adduction,Novice,Adductors,Superband,1.0,,0.0,Lower Body,Other,Unsorted*
Double Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Kettlebell Dead Clean to Horn Grip Squat,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Unsorted*,Ballistics
Double Kettlebell Bottoms Up Front Rack March,Intermediate,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Balance
Double Kettlebell Bottoms Up Overhead March,Intermediate,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Balance
Suspension Alternating Cossack Squat,Beginner,Quadriceps,Suspension Trainer,1.0,,0.0,Lower Body,Push,Bodybuilding
Battle Rope Single Leg Standing Alternating Wave,Intermediate,Biceps,Battle Ropes,1.0,,0.0,Upper Body,Other,Balance
Superband Assisted Dips,Novice,Triceps,Superband,1.0,,0.0,Upper Body,Push,Calisthenics
Battle Rope Split Squat Isometric Alternating Wave,Advanced,Biceps,Battle Ropes,1.0,,0.0,Full Body,Other,Balance
Alternating Single Arm Kettlebell Ballistic Row,Intermediate,Back,Kettlebell,1.0,,0.0,Upper Body,Pull,Ballistics
Double Kettlebell Bottoms Up Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Suspension Split Squat,Beginner,Quadriceps,Suspension Trainer,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Tactical Clean,Advanced,Glutes,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Suspension Cyclist Squat,Beginner,Quadriceps,Suspension Trainer,1.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Macebell 360,Intermediate,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Single Arm Suspension Contralateral Skater Squat,Intermediate,Quadriceps,Suspension Trainer,1.0,,0.0,Lower Body,Push,Balance
Single Arm Macebell 360,Intermediate,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Double Kettlebell Front Rack Pivot Split Squat,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Pivot Split Squat,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Overhead Pivot Split Squat,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Bodyweight Cyclist Squat,Beginner,Quadriceps,Bodyweight,1.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Kettlebell Half Kneeling Rotational Swing,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Full Body,Other,Ballistics
Double Kettlebell Clean to Push Jerk,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Full Body,Unsorted*,Ballistics
Alternating Single Arm Kettlebell Clean to Push Jerk,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Full Body,Unsorted*,Ballistics
Kettlebell Split Squat Isometric Low to High Chop,Advanced,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Balance
Kettlebell Split Squat Isometric Alternating Halo,Advanced,Shoulders,Kettlebell,1.0,,0.0,Unsorted*,Pull,Balance
Double Kettlebell Front Rack March,Novice,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Balance
